EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,DEPOSIT METAL SEED,FILL VIA METAL,ANNEAL METAL 1,DEPOSIT METAL 1,ANNEAL METAL
valid_0002,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0003,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,CLEAN AFTER VIA ETCH
valid_0004,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DIELECTRIC ETCH VIA
valid_0005,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA INSPECTION,MEASURE GATE CD,CLEAN AFTER VIA ETCH
valid_0006,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,DEPOSIT PASSIVATION LAYER
valid_0007,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS
valid_0008,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER
valid_0009,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,DEPOSIT TOP METAL
valid_0010,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP
valid_0011,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,MEASURE FILM THICKNESS
valid_0012,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0013,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,MEASURE LINE WIDTH
valid_0014,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE METALLIZATION PREP,CURE PASSIVATION,THRESHOLD VOLTAGE TEST
valid_0015,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,CMP METAL
valid_0016,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,PAD WINDOW LITHO,DEVELOP PAD WINDOW
valid_0017,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH
valid_0018,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH
valid_0019,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT LDD,DEPOSIT METAL SEED,SPIN COAT PHOTORESIST
valid_0020,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,MEASURE LINE WIDTH
valid_0021,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH
valid_0022,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0023,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH
valid_0024,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,DEPOSIT PASSIVATION LAYER
valid_0025,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH
valid_0026,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0027,STRIP PHOTORESIST,STRIP RESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC,VIA ETCH
